
a,a,d
method,method,
metre,metre,
midday,midday,
middle,middle,
midnight,midnight,
might,might,
mild,mild,
mile,mile,
military,military,
milk,milk,
milligram,milligram,
millimetre,millimetre,
million,million,
millionth,millionth,
mind,mind,
mine,mine,
mineral,mineral,
minimum,minimum,
minister,minister,
ministry,ministry,
minor,minor,
minority,minority,
mirror,mirror,
miss,miss,
missing,missing,
mistake,mistake,
mistaken,mistaken,
mix,mix,
mixed,mixed,
mixture,mixture,
mobile,mobile,
model,model,
modern,modern,
mom,mom,
moment,moment,
Monday,Monday,
money,money,
monitor,monitor,
month,month,
mood,mood,
moon,moon,
moral,moral,
morally,morally,
more,more,
moreover,moreover,
morning,morning,
most,most,
mostly,mostly,
mother,mother,
motion,motion,
motor,motor,
motorbike,motorbike,
motorcycle,motorcycle,
mount,mount,
mountain,mountain,
mouse,mouse,
mouth,mouth,
move,move,
movement,movement,
movie,movie,
moving,moving,
Mr,Mr,
Mrs,Mrs,
Ms,Ms,
much,much,
mud,mud,
multiply,multiply,
mum,mum,
murder,murder,
muscle,muscle,
museum,museum,
music,music,
musical,musical,
musician,musician,
must,must,
my,my,
myself,myself,
mysterious,mysterious,
mystery,mystery,
nail,nail,
naked,naked,
name,name,
narrow,narrow,
nation,nation,
national,national,
natural,natural,
naturally,naturally,
nature,nature,
navy,navy,
near,near,
nearby,nearby,
nearly,nearly,
neat,neat,
neatly,neatly,
necessarily,necessarily,
necessary,necessary,
neck,neck,
need,need,
needle,needle,
negative,negative,
neighbour,neighbour,
neighbourhood,neighbourhood,
neither,neither,
nephew,nephew,
nerve,nerve,
nervous,nervous,
nervously,nervously,
nest,nest,
net,net,
network,network,
never,never,
nevertheless,nevertheless,
new,new,
newly,newly,
news,news,
newspaper,newspaper,
next,next,
nice,nice,
nicely,nicely,
niece,niece,
night,night,
nine,nine,
nineteen,nineteen,
nineteenth,nineteenth,
ninetieth,ninetieth,
ninety,ninety,
ninth,ninth,
no,no,
nobody,nobody,
noise,noise,
noisily,noisily,
noisy,noisy,
none,none,
nonsense,nonsense,
nor,nor,
normal,normal,
normally,normally,
north,north,
northern,northern,
nose,nose,
not,not,
note,note,
nothing,nothing,
notice,notice,
noticeable,noticeable,
novel,novel,
November,November,
now,now,
nowhere,nowhere,
nuclear,nuclear,
number,number,
nurse,nurse,
nut,nut,
obey,obey,
object,object,
objective,objective,
observation,observation,
observe,observe,
obtain,obtain,
obvious,obvious,
obviously,obviously,
occasion,occasion,
occasionally,occasionally,
occupied,occupied,
occupy,occupy,
occur,occur,
ocean,ocean,
October,October,
odd,odd,
oddly,oddly,
of,of,
off,off,
offence,offence,
offend,offend,
offense,offense,
offensive,offensive,
offer,offer,
office,office,
officer,officer,
official,official,
officially,officially,
often,often,
oh,oh,
oil,oil,
OK,OK,
OLD,NEW,CLASS
old,old,
on,on,
once,once,
one,one,
onion,onion,
online,online,
only,only,
onto,onto,
open,open,
opening,opening,
openly,openly,
operate,operate,
operation,operation,
opinion,opinion,
opponent,opponent,
opportunity,opportunity,
oppose,oppose,
opposed,opposed,
opposing,opposing,
opposite,opposite,
opposition,opposition,
option,option,
or,or,
orange,orange,
order,order,
ordinary,ordinary,
organ,organ,
organization,organization,
organize,organize,
organized,organized,
origin,origin,
original,original,
originally,originally,
other,other,
otherwise,otherwise,
our,our,
ours,ours,
ourselves,ourselves,
out,out,
outdoor,outdoor,
outdoors,outdoors,
outer,outer,
outline,outline,
output,output,
outside,outside,
outstanding,outstanding,
oven,oven,
over,over,
overall,overall,
overcome,overcome,
owe,owe,
own,own,
owner,owner,
o’clock,o’clock,
p.m.,p.m.,
pack,pack,
package,package,
packaging,packaging,
packet,packet,
page,page,
pain,pain,
painful,painful,
paint,paint,
painter,painter,
painting,painting,
pair,pair,
palace,palace,
pale,pale,
panel,panel,
pants,pants,
paper,paper,
parallel,parallel,
parent,parent,
park,park,
parliament,parliament,
part,part,
particular,particular,
particularly,particularly,
partly,partly,
partner,partner,
partnership,partnership,
party,party,
pass,pass,
passage,passage,
passenger,passenger,
passing,passing,
passport,passport,
past,past,
path,path,
patience,patience,
patient,patient,
pattern,pattern,
pause,pause,
pay,pay,
payment,payment,
peace,peace,
peaceful,peaceful,
peak,peak,
pen,pen,
pencil,pencil,
penny,penny,
people,people,
pepper,pepper,
per,per,
perfect,perfect,
perfectly,perfectly,
perform,perform,
performance,performance,
performer,performer,
perhaps,perhaps,
period,period,
permanent,permanent,
permanently,permanently,
permission,permission,
permit,permit,
person,person,
personal,personal,
personality,personality,
personally,personally,
persuade,persuade,
pet,pet,
petrol,petrol,
phase,phase,
philosophy,philosophy,
phone,phone,
photo,photo,
photocopy,photocopy,
photograph,photograph,
photographer,photographer,
photography,photography,
phrase,phrase,
physical,physical,
physically,physically,
physics,physics,
piano,piano,
pick,pick,
picture,picture,
piece,piece,
pig,pig,
pile,pile,
pill,pill,
pilot,pilot,
pin,pin,
pink,pink,
pint,pint,
pipe,pipe,
pitch,pitch,
pity,pity,
place,place,
plain,plain,
plan,plan,
plane,plane,
planet,planet,
planning,planning,
plant,plant,
plastic,plastic,
plate,plate,
platform,platform,
play,play,
player,player,
pleasant,pleasant,
pleasantly,pleasantly,
please,please,
pleased,pleased,
pleasing,pleasing,
pleasure,pleasure,
plenty,plenty,
plot,plot,
plug,plug,
pocket,pocket,
poem,poem,
poetry,poetry,
point,point,
pointed,pointed,
poison,poison,
poisonous,poisonous,
pole,pole,
police,police,
policy,policy,
polish,polish,
polite,polite,
politely,politely,
political,political,
politically,politically,
politician,politician,
politics,politics,
pollution,pollution,
pool,pool,
poor,poor,
pop,pop,
popular,popular,
population,population,
port,port,
pose,pose,
position,position,
positive,positive,
possess,possess,
possession,possession,
possibility,possibility,
possible,possible,
possibly,possibly,
post,post,
pot,pot,
potato,potato,
potential,potential,
potentially,potentially,
pound,pound,
pour,pour,
powder,powder,
power,power,
powerful,powerful,
practical,practical,
practically,practically,
practice,practice,
practise,practise,
praise,praise,
pray,pray,
prayer,prayer,
precise,precise,
precisely,precisely,
predict,predict,
prefer,prefer,
preference,preference,
pregnant,pregnant,
premises,premises,
preparation,preparation,
prepare,prepare,
prepared,prepared,
presence,presence,
present,present,
presentation,presentation,
preserve,preserve,
president,president,
press,press,
pressure,pressure,
presumably,presumably,
pretend,pretend,
pretty,pretty,
prevent,prevent,
previous,previous,
previously,previously,
price,price,
pride,pride,
priest,priest,
primarily,primarily,
primary,primary,
prince,prince,
princess,princess,
principle,principle,
print,print,
printer,printer,
printing,printing,
prior,prior,
priority,priority,
prison,prison,
prisoner,prisoner,
private,private,
privately,privately,
prize,prize,
probable,probable,
probably,probably,
problem,problem,
procedure,procedure,
proceed,proceed,
produce,produce,
producer,producer,
product,product,
production,production,
profession,profession,
professional,professional,
professor,professor,
profit,profit,
program,program,
programme,programme,
progress,progress,
project,project,
promise,promise,
promote,promote,
promotion,promotion,
prompt,prompt,
promptly,promptly,
pronounce,pronounce,
pronunciation,pronunciation,
proof,proof,
proper,proper,
properly,properly,
property,property,
proportion,proportion,
proposal,proposal,
propose,propose,
prospect,prospect,
protect,protect,
protection,protection,
protest,protest,
proud,proud,
proudly,proudly,
prove,prove,
provide,provide,
provided,provided,
providing,providing,
pub,pub,
public,public,
publication,publication,
publicity,publicity,
publicly,publicly,
publish,publish,
publishing,publishing,
pull,pull,
punch,punch,
punish,punish,
punishment,punishment,
pupil,pupil,
purchase,purchase,
pure,pure,
purely,purely,
purple,purple,
purpose,purpose,
pursue,pursue,
push,push,
put,put,
qualification,qualification,
qualified,qualified,
qualify,qualify,
quality,quality,
quantity,quantity,
quarter,quarter,
queen,queen,
question,question,
quick,quick,
quickly,quickly,
quiet,quiet,
quietly,quietly,
quit,quit,
quite,quite,
quote,quote,
race,race,
racing,racing,
radio,radio,
rail,rail,
railroad,railroad,
railway,railway,
rain,rain,
raise,raise,
range,range,
rank,rank,
rapid,rapid,
rapidly,rapidly,
rare,rare,
rarely,rarely,
rate,rate,
rather,rather,
raw,raw,
reach,reach,
react,react,
reaction,reaction,
read,read,
reader,reader,
reading,reading,
ready,ready,
real,real,
realistic,realistic,
reality,reality,
realize,realize,
really,really,
rear,rear,
reason,reason,
reasonable,reasonable,
reasonably,reasonably,
recall,recall,
receipt,receipt,
receive,receive,
recent,recent,
recently,recently,
reception,reception,
reckon,reckon,
recognition,recognition,
recognize,recognize,
recommend,recommend,
record,record,
recording,recording,
recover,recover,
red,red,
reduce,reduce,
reduction,reduction,
refer,refer,
reference,reference,
reflect,reflect,
reform,reform,
refrigerator,refrigerator,
refusal,refusal,
regard,regard,
regarding,regarding,
region,region,
regional,regional,
register,register,
regret,regret,
regular,regular,
regularly,regularly,
regulation,regulation,
reject,reject,
relate,relate,
related,related,
relation,relation,
relationship,relationship,
relative,relative,
relatively,relatively,
relax,relax,
relaxed,relaxed,
relaxing,relaxing,
release,release,
relevant,relevant,
relief,relief,
religion,religion,
religious,religious,
rely,rely,
remain,remain,
remaining,remaining,
remains,remains,
remark,remark,
remarkable,remarkable,
remarkably,remarkably,
remember,remember,
remind,remind,
remote,remote,
removal,removal,
remove,remove,
rent,rent,
rented,rented,
repair,repair,
repeat,repeat,
repeated,repeated,
repeatedly,repeatedly,
replace,replace,
reply,reply,
report,report,
represent,represent,
representative,representative,
reproduce,reproduce,
reputation,reputation,
request,request,
require,require,
requirement,requirement,
rescue,rescue,
research,research,
reservation,reservation,
reserve,reserve,
resident,resident,
resist,resist,
resistance,resistance,
resolve,resolve,
resort,resort,
resource,resource,
respect,respect,
respond,respond,
response,response,
responsibility,responsibility,
responsible,responsible,
rest,rest,
restaurant,restaurant,
restore,restore,
restrict,restrict,
restricted,restricted,
restriction,restriction,
result,result,
retain,retain,
retire,retire,
retired,retired,
retirement,retirement,
return,return,
reveal,reveal,
reverse,reverse,
review,review,
revise,revise,
revision,revision,
revolution,revolution,
reward,reward,
rhythm,rhythm,
rice,rice,
rich,rich,
rid,rid,
ride,ride,
rider,rider,
ridiculous,ridiculous,
riding,riding,
right,right,
rightly,rightly,
rise,rise,
risk,risk,
rival,rival,
river,river,
road,road,
rob,rob,
rock,rock,
role,role,
roll,roll,
romantic,romantic,
roof,roof,
room,room,
root,root,
rope,rope,
rough,rough,
roughly,roughly,
round,round,
rounded,rounded,
route,route,
routine,routine,
royal,royal,
rub,rub,
rubber,rubber,
rubbish,rubbish,
rude,rude,
rudely,rudely,
ruin,ruin,
ruined,ruined,
rule,rule,
ruler,ruler,
rumour,rumour,
run,run,
runner,runner,
running,running,
rural,rural,
rush,rush,
sack,sack,
sad,sad,
sadly,sadly,
sadness,sadness,
safe,safe,
safely,safely,
safety,safety,
sail,sail,
sailing,sailing,
sailor,sailor,
salad,salad,
salary,salary,
sale,sale,
salt,salt,
salty,salty,
same,same,
sample,sample,
sand,sand,
satisfaction,satisfaction,
satisfied,satisfied,
satisfy,satisfy,
satisfying,satisfying,
Saturday,Saturday,
sauce,sauce,
save,save,
saving,saving,
say,say,
scale,scale,
scare,scare,
scared,scared,
scene,scene,
schedule,schedule,
scheme,scheme,
school,school,
science,science,
scientific,scientific,
scientist,scientist,
scissors,scissors,
score,score,
scratch,scratch,
scream,scream,
screen,screen,
screw,screw,
sea,sea,
seal,seal,
search,search,
season,season,
seat,seat,
secondary,secondary,
secret,secret,
secretary,secretary,
secretly,secretly,
section,section,
sector,sector,
secure,secure,
security,security,
see,see,
seed,seed,
seek,seek,
seem,seem,
select,select,
selection,selection,
self,self,
sell,sell,
senate,senate,
senator,senator,
send,send,
senior,senior,
sense,sense,
sensible,sensible,
sensitive,sensitive,
sentence,sentence,
separate,separate,
separated,separated,
separately,separately,
separation,separation,
September,September,
series,series,
serious,serious,
seriously,seriously,
servant,servant,
serve,serve,
service,service,
session,session,
set,set,
settle,settle,
seven,seven,
seventeen,seventeen,
seventh,seventh,
seventieth,seventieth,
seventy,seventy,
several,several,
severe,severe,
severely,severely,
sew,sew,
sewing,sewing,
sex,sex,
sexual,sexual,
sexually,sexually,
shade,shade,
shadow,shadow,
shake,shake,
shall,shall,
shallow,shallow,
shame,shame,
shape,shape,
shaped,shaped,
share,share,
sharp,sharp,
sharply,sharply,
shave,shave,
she,she,
sheep,sheep,
sheet,sheet,
shelf,shelf,
shell,shell,
shelter,shelter,
shift,shift,
shine,shine,
shiny,shiny,
ship,ship,
shirt,shirt,
shock,shock,
shocked,shocked,
shocking,shocking,
shoe,shoe,
shoot,shoot,
shooting,shooting,
shop,shop,
shopping,shopping,
short,short,
shortly,shortly,
shot,shot,
should,should,
shoulder,shoulder,
shout,shout,
show,show,
shower,shower,
shut,shut,
shy,shy,
sick,sick,
side,side,
sideways,sideways,
sight,sight,
sign,sign,
signal,signal,
signature,signature,
significant,significant,
significantly,significantly,
silence,silence,
silent,silent,
silk,silk,
silly,silly,
silver,silver,
similar,similar,
similarly,similarly,
simple,simple,
simply,simply,
since,since,
sincere,sincere,
sincerely,sincerely,
sing,sing,
singer,singer,
singing,singing,
single,single,
sink,sink,
sir,sir,
sister,sister,
sit,sit,
site,site,
situation,situation,
six,six,
sixteen,sixteen,
sixth,sixth,
sixtieth,sixtieth,
sixty,sixty,
size,size,
skilful,skilful,
skilfully,skilfully,
skill,skill,
skilled,skilled,
skin,skin,
skirt,skirt,
sky,sky,
sleep,sleep,
sleeve,sleeve,
slice,slice,
slide,slide,
slight,slight,
slightly,slightly,
slip,slip,
slope,slope,
slow,slow,
slowly,slowly,
small,small,
smart,smart,
smash,smash,
smell,smell,
smile,smile,
smoke,smoke,
smoking,smoking,
smooth,smooth,
smoothly,smoothly,
snake,snake,
snow,snow,
so,so,
soap,soap,
social,social,
socially,socially,
society,society,
sock,sock,
soft,soft,
softly,softly,
software,software,
soil,soil,
soldier,soldier,
solid,solid,
solution,solution,
solve,solve,
some,some,
somebody,somebody,
somehow,somehow,
someone,someone,
something,something,
sometimes,sometimes,
somewhat,somewhat,
somewhere,somewhere,
son,son,
song,song,
soon,soon,
sore,sore,
sorry,sorry,
sort,sort,
soul,soul,
sound,sound,
soup,soup,
sour,sour,
source,source,
south,south,
southern,southern,
space,space,
spare,spare,
speak,speak,
speaker,speaker,
special,special,
specialist,specialist,
specially,specially,
specific,specific,
specifically,specifically,
speech,speech,
speed,speed,
spell,spell,
spelling,spelling,
spend,spend,
spice,spice,
spicy,spicy,
spider,spider,
spin,spin,
spirit,spirit,
spiritual,spiritual,
spite,spite,
split,split,
spoil,spoil,
spoken,spoken,
spoon,spoon,
sport,sport,
spot,spot,
spray,spray,
spread,spread,
spring,spring,
square,square,
squeeze,squeeze,
stable,stable,
staff,staff,
stage,stage,
stair,stair,
stamp,stamp,
stand,stand,
standard,standard,
star,star,
stare,stare,
start,start,
state,state,
statement,statement,
station,station,
statue,statue,
status,status,
stay,stay,
steadily,steadily,
steady,steady,
steal,steal,
steam,steam,
steel,steel,
steep,steep,
steeply,steeply,
steer,steer,
step,step,
stick,stick,
sticky,sticky,
stiff,stiff,
stiffly,stiffly,
still,still,
sting,sting,
stir,stir,
stock,stock,
stomach,stomach,
stone,stone,
stop,stop,
store,store,
storm,storm,
story,story,
stove,stove,
straight,straight,
strain,strain,
strange,strange,
strangely,strangely,
stranger,stranger,
strategy,strategy,
stream,stream,
street,street,
strength,strength,
stress,stress,
stressed,stressed,
stretch,stretch,
strict,strict,
strictly,strictly,
strike,strike,
striking,striking,
string,string,
strip,strip,
stripe,stripe,
striped,striped,
stroke,stroke,
strong,strong,
strongly,strongly,
structure,structure,
struggle,struggle,
student,student,
studio,studio,
study,study,
stuff,stuff,
stupid,stupid,
style,style,
subject,subject,
substance,substance,
substantial,substantial,
substantially,substantially,
substitute,substitute,
succeed,succeed,
success,success,
successful,successful,
successfully,successfully,
such,such,
suck,suck,
sudden,sudden,
suddenly,suddenly,
suffer,suffer,
suffering,suffering,
sufficient,sufficient,
sufficiently,sufficiently,
sugar,sugar,
suggest,suggest,
suggestion,suggestion,
suit,suit,
suitable,suitable,
suitcase,suitcase,
suited,suited,
sum,sum,
summary,summary,
summer,summer,
sun,sun,
Sunday,Sunday,
superior,superior,
supermarket,supermarket,
supply,supply,
support,support,
supporter,supporter,
suppose,suppose,
sure,sure,
surely,surely,
surface,surface,
surname,surname,
surprise,surprise,
surprised,surprised,
surprising,surprising,
surprisingly,surprisingly,
surround,surround,
surrounding,surrounding,
surroundings,surroundings,
survey,survey,
survive,survive,
suspect,suspect,
suspicion,suspicion,
suspicious,suspicious,
swallow,swallow,
swear,swear,
swearing,swearing,
sweat,sweat,
sweater,sweater,
sweep,sweep,
sweet,sweet,
swell,swell,
swelling,swelling,
swim,swim,
swimming,swimming,
swing,swing,
switch,switch,
swollen,swollen,
symbol,symbol,
sympathetic,sympathetic,
sympathy,sympathy,
system,system,
table,table,
tablet,tablet,
tackle,tackle,
tail,tail,
take,take,
talk,talk,
tall,tall,
tank,tank,
tap,tap,
tape,tape,
target,target,
task,task,
taste,taste,
tax,tax,
taxi,taxi,
tea,tea,
teach,teach,
teacher,teacher,
teaching,teaching,
team,team,
technical,technical,
technique,technique,
technology,technology,
telephone,telephone,
television,television,
tell,tell,
temperature,temperature,
temporarily,temporarily,
temporary,temporary,
ten,ten,
tend,tend,
tendency,tendency,
tension,tension,
tent,tent,
tenth,tenth,
term,term,
terrible,terrible,
terribly,terribly,
test,test,
text,text,
than,than,
thank,thank,
thanks,thanks,
that,that,
the,the,
theatre,theatre,
their,their,
theirs,theirs,
them,them,
theme,theme,
themselves,themselves,
then,then,
theory,theory,
there,there,
therefore,therefore,
they,they,
thick,thick,
thickly,thickly,
thickness,thickness,
thief,thief,
thin,thin,
thing,thing,
think,think,
thinking,thinking,
third,third,
thirsty,thirsty,
thirteen,thirteen,
thirteenth,thirteenth,
thirtieth,thirtieth,
thirty,thirty,
this,this,
thorough,thorough,
thoroughly,thoroughly,
though,though,
thought,thought,
thousand,thousand,
thousandth,thousandth,
thread,thread,
threat,threat,
threaten,threaten,
threatening,threatening,
three,three,
throat,throat,
through,through,
throughout,throughout,
throw,throw,
thumb,thumb,
Thursday,Thursday,
thus,thus,
ticket,ticket,
tidy,tidy,
tie,tie,
tight,tight,
tightly,tightly,
till,till,
time,time,
timetable,timetable,
tin,tin,
tiny,tiny,
tip,tip,
tire,tire,
tired,tired,
tiring,tiring,
title,title,
to,to,
today,today,
toe,toe,
together,together,
toilet,toilet,
tomato,tomato,
tomorrow,tomorrow,
ton,ton,
tone,tone,
tongue,tongue,
tonight,tonight,
tonne,tonne,
too,too,
tool,tool,
tooth,tooth,
top,top,
topic,topic,
total,total,
totally,totally,
touch,touch,
tough,tough,
tour,tour,
tourist,tourist,
towards,towards,
towel,towel,
tower,tower,
town,town,
toy,toy,
trace,trace,
track,track,
trade,trade,
trading,trading,
tradition,tradition,
traditional,traditional,
traditionally,traditionally,
traffic,traffic,
train,train,
training,training,
transfer,transfer,
transform,transform,
translate,translate,
translation,translation,
transparent,transparent,
transport,transport,
transportation,transportation,
trap,trap,
travel,travel,
traveller,traveller,
treat,treat,
treatment,treatment,
tree,tree,
trend,trend,
trial,trial,
triangle,triangle,
trick,trick,
trip,trip,
tropical,tropical,
trouble,trouble,
trousers,trousers,
truck,truck,
TRUE,TRUE,
truly,truly,
trust,trust,
truth,truth,
try,try,
tube,tube,
Tuesday,Tuesday,
tune,tune,
tunnel,tunnel,
turn,turn,
TV,TV,
twelfth,twelfth,
twelve,twelve,
twentieth,twentieth,
twenty,twenty,
twice,twice,
twin,twin,
twist,twist,
twisted,twisted,
two,two,
type,type,
typical,typical,
typically,typically,
tyre,tyre,
ugly,ugly,
ultimate,ultimate,
ultimately,ultimately,
umbrella,umbrella,
unable,unable,
unacceptable,unacceptable,
uncertain,uncertain,
uncle,uncle,
uncomfortable,uncomfortable,
unconscious,unconscious,
uncontrolled,uncontrolled,
under,under,
underground,underground,
underneath,underneath,
understand,understand,
understanding,understanding,
underwater,underwater,
underwear,underwear,
undo,undo,
unemployed,unemployed,
unemployment,unemployment,
unexpected,unexpected,
unexpectedly,unexpectedly,
unfair,unfair,
unfairly,unfairly,
unfortunate,unfortunate,
unfortunately,unfortunately,
unfriendly,unfriendly,
unhappy,unhappy,
uniform,uniform,
unimportant,unimportant,
union,union,
unique,unique,
unit,unit,
unite,unite,
united,united,
universe,universe,
university,university,
unkind,unkind,
unknown,unknown,
unless,unless,
unlike,unlike,
unlikely,unlikely,
unload,unload,
unlucky,unlucky,
unnecessary,unnecessary,
unpleasant,unpleasant,
unreasonable,unreasonable,
unsteady,unsteady,
unsuccessful,unsuccessful,
untidy,untidy,
until,until,
unusual,unusual,
unusually,unusually,
unwilling,unwilling,
unwillingly,unwillingly,
up,up,
upon,upon,
upper,upper,
upset,upset,
upsetting,upsetting,
upstairs,upstairs,
upward,upward,
upwards,upwards,
urban,urban,
urge,urge,
urgent,urgent,
us,us,
use,use,
useful,useful,
useless,useless,
user,user,
usual,usual,
usually,usually,
vacation,vacation,
valid,valid,
valley,valley,
valuable,valuable,
value,value,
van,van,
variation,variation,
varied,varied,
variety,variety,
various,various,
vary,vary,
vast,vast,
vegetable,vegetable,
vehicle,vehicle,
venture,venture,
version,version,
vertical,vertical,
very,very,
via,via,
victim,victim,
victory,victory,
video,video,
view,view,
village,village,
violence,violence,
violent,violent,
violently,violently,
virtually,virtually,
virus,virus,
visible,visible,
vision,vision,
visit,visit,
visitor,visitor,
vital,vital,
vocabulary,vocabulary,
voice,voice,
volume,volume,
vote,vote,
wage,wage,
waist,waist,
wait,wait,
waiter,waiter,
wake,wake,
walk,walk,
walking,walking,
wall,wall,
wallet,wallet,
wander,wander,
want,want,
war,war,
warm,warm,
warmth,warmth,
warn,warn,
warning,warning,
wash,wash,
washing,washing,
waste,waste,
watch,watch,
water,water,
wave,wave,
way,way,
we,we,
weak,weak,
weakness,weakness,
wealth,wealth,
weapon,weapon,
wear,wear,
weather,weather,
web,web,
website,website,
wedding,wedding,
Wednesday,Wednesday,
week,week,
weekend,weekend,
weekly,weekly,
weigh,weigh,
weight,weight,
welcome,welcome,
well,well,
west,west,
western,western,
wet,wet,
what,what,
whatever,whatever,
wheel,wheel,
when,when,
whenever,whenever,
where,where,
whereas,whereas,
wherever,wherever,
whether,whether,
which,which,
while,while,
whisper,whisper,
whistle,whistle,
white,white,
who,who,
whoever,whoever,
whole,whole,
whom,whom,
whose,whose,
why,why,
wide,wide,
widely,widely,
width,width,
wife,wife,
wild,wild,
wildly,wildly,
will,will,
willing,willing,
willingly,willingly,
willingness,willingness,
win,win,
window,window,
wine,wine,
wing,wing,
winner,winner,
winning,winning,
winter,winter,
wire,wire,
wise,wise,
wish,wish,
with,with,
withdraw,withdraw,
within,within,
without,without,
witness,witness,
woman,woman,
wonder,wonder,
wonderful,wonderful,
wood,wood,
wooden,wooden,
wool,wool,
word,word,
work,work,
worker,worker,
working,working,
world,world,
worried,worried,
worry,worry,
worrying,worrying,
worse,worse,
worship,worship,
worst,worst,
worth,worth,
would,would,
wounded,wounded,
wrap,wrap,
wrapping,wrapping,
wrist,wrist,
write,write,
writer,writer,
writing,writing,
written,written,
wrong,wrong,
wrongly,wrongly,
yard,yard,
yawn,yawn,
yeah,yeah,
year,year,
yellow,yellow,
yes,yes,
yesterday,yesterday,
yet,yet,
you,you,
young,young,
your,your,
yours,yours,
yourself,yourself,
youth,youth,
zero,zero,
zone,zone,
according to,according to,p
account for,account for,v
add on,add on,v
add up to,add up to,v
add up,add up,v
allow for,allou for,v
amount to,amount to,v
apart from,apart from,prep
arrive at,arrive at,
aside from,aside from,
attend to,attend to,
back up,back up,
base on,base on,
be left over,be left over,
beat up,beat up,
because of,because of,
believe in,believe in,
belong to,belong to,
bid 1,bid 1,
blow out,blow out,
blow up,blow up,
break down,break down,
break in,break in,
break into,break into,
break off,break off,
break out,break out,
break up,break up,
breathe in,breathe in,
breathe out,breathe out,
bring back,bring back,
bring down,bring down,
bring forward,bring forward,
bring out,bring out,
bring up,bring up,
build up,build up,
burn down,burn down,
burst into,burst into,
burst out,burst out,
call back,call back,
call for,call for,
call off,call off,
call up,call up,
calm down,calm down,
can 1,can 1,
can 2,can 2,
care for,care for,
carry on,carry on,
carry out,carry out,
catch up,catch up,
cell phone,cell phone,
change round,change round,
chase away,chase away,
cheat of,cheat of,
check in,check in,
check into,check into,
check on,check on,
check out,check out,
check over,check over,
check up on,check up on,
chop down,chop down,
chop off,chop off,
clean up,clean up,
clear out,clear out,
clear up,clear up,
close 1,close 1,
close 2,close 2,
come across,come across,
come down,come down,
come from,come from,
come in,come in,
come off,come off,
come on,come on,
come out,come out,
come round,come round,
come to,come to,
come up to,come up to,
come up,come up,
concentrate on,concentrate on,
consist of,consist of,
content 1,content 1,
cool down,cool down,
count on,count on,
cover up,cover up,
credit card,credit card,
cross out,cross out,
cry out,cry out,
curl up,curl up,
cut back,cut back,
cut down,cut down,
cut off,cut off,
cut out,cut out,
cut up,cut up,
date back,date back,
deal in,deal in,
deal with,deal with,
decide on,decide on,
depend on,depend on,
derive from,derive from,
devote to,devote to,
die away,die away,
die out,die out,
disagree with doing,disagree with doing,
do 1,do 1,
do up,do up,
do with,do with,
do without,do without,
dress up,dress up,
drive away,drive away,
drive off,drive off,
drop out,drop out,
dry off,dry off,
dry up,dry up,
each other,each other,
eat out,eat out,
eat up,eat up,
end in,end in,
end up,end up,
entrance 1,entrance 1,
face up to,face up to,
figure out,figure out,
fill in,fill in,
fill out,fill out,
fill up,fill up,
find out,find out,
finish off,finish off,
fit in,fit in,
follow up,follow up,
frighten away/off,frighten away/off,
function as,function as,
get away with,get away with,
get away,get away,
get back,get back,
get by,get by,
get in,get in,
get into,get into,
get off,get off,
get on with,get on with,
get on,get on,
get out of,get out of,
get over,get over,
get round to,get round to,
get round,get round,
get through,get through,
get up,get up,
give away,give away,
give back,give back,
give in,give in,
give off,give off,
give out,give out,
give up,give up,
go ahead,go ahead,
go away,go away,
go back to,go back to,
go back,go back,
go by,go by,
go down,go down,
go into,go into,
go off,go off,
go on doing,go on doing,
go on,go on,
go out with,go out with,
go out,go out,
go over,go over,
go round,go round,
go through with,go through with,
go through,go through,
go to,go to,
go up,go up,
go with,go with,
go without,go without,
grave 1,grave 1,
grow up,grow up,
hand back,hand back,
hand down,hand down,
hand in,hand in,
hand out,hand out,
hand over,hand over,
hand round,hand round,
hang about with,hang about with,
hang about,hang about,
hang around with,hang around with,
hang around,hang around,
hang on to,hang on to,
hang on,hang on,
hang up,hang up,
happen to,happen to,
have back,have back,
have on,have on,
have to,have to,
hear from,hear from,
hear of,hear of,
heat up,heat up,
help out,help out,
hire out,hire out,
hold back,hold back,
hold on to,hold on to,
hold on,hold on,
hold out,hold out,
hold up,hold up,
hurry up,hurry up,
ice cream,ice cream,
identify with,identify with,
insist on doing,insist on doing,
insist on,insist on,
instead of,instead of,
join in,join in,
keep out of,keep out of,
keep out,keep out,
keep up with,keep up with,
keep up,keep up,
knock down,knock down,
knock out,knock out,
last 1,last 1,
laugh at,laugh at,
lead 1,lead 1,
leading 1,leading 1,
leave out,leave out,
let down,let down,
let off,let off,
lie 1,lie 1,
lie 2,lie 2,
lie around,lie around,
lie down,lie down,
limit to,limit to,
live 1,live 1,
live 2,live 2,
live on,live on,
live through,live through,
live together,live together,
lock up,lock up,
look after,look after,
look at,look at,
look down on,look down on,
look forward to,look forward to,
look into,look into,
look on with,look on with,
look on,look on,
look out for,look out for,
look out,look out,
look round,look round,
look through,look through,
look up to,look up to,
look up,look up,
make into,make into,
make up for,make up for,v
make up,make up,v
match up,match up,
meet up,meet up,
meet with,meet with,
minute 1,minute 1,
miss out,miss out,
mistake for,mistake for,
mix up,mix up,
mobile phone,mobile phone,
move in,move in,
move out,move out,
move over,move over,
movie theater,movie theater,
next to,next to,
